Crypto,Price (USD)
bitcoin,87030.0
ethereum,2031.29
litecoin,94.23
bitcoin,87005.0,2025-03-26 15:16:53
ethereum,2031.07,2025-03-26 15:16:53
litecoin,94.19,2025-03-26 15:16:53
bitcoin,86955.0,2025-03-26 15:19:11
ethereum,2030.5,2025-03-26 15:19:11
litecoin,94.12,2025-03-26 15:19:11
bitcoin,86923.0,2025-03-26 15:20:14
ethereum,2030.18,2025-03-26 15:20:14
litecoin,94.06,2025-03-26 15:20:14
bitcoin,86923.0,2025-03-26 15:20:36
ethereum,2030.18,2025-03-26 15:20:36
litecoin,94.06,2025-03-26 15:20:36
bitcoin,86753.0,2025-03-26 15:21:30
ethereum,2025.04,2025-03-26 15:21:30
litecoin,93.74,2025-03-26 15:21:30
bitcoin,86753.0,2025-03-26 15:21:43
ethereum,2025.04,2025-03-26 15:21:43
litecoin,93.74,2025-03-26 15:21:43
bitcoin,86753.0,2025-03-26 15:21:57
ethereum,2025.04,2025-03-26 15:21:57
litecoin,93.74,2025-03-26 15:21:57
bitcoin,86745.0,2025-03-26 15:22:36
ethereum,2024.77,2025-03-26 15:22:36
litecoin,93.59,2025-03-26 15:22:36
bitcoin,86635.0,N/A,2025-03-26 15:38:24
ethereum,2013.5,N/A,2025-03-26 15:38:24
litecoin,93.34,N/A,2025-03-26 15:38:24
bitcoin,86580.0,N/A,2025-03-26 15:50:38
ethereum,2011.42,N/A,2025-03-26 15:50:38
litecoin,93.14,N/A,2025-03-26 15:50:38
bitcoin,86580.0,N/A,2025-03-26 15:50:58
ethereum,2011.42,N/A,2025-03-26 15:50:58
litecoin,93.14,N/A,2025-03-26 15:50:58
bitcoin,87015.0,N/A,2025-03-26 16:04:44
ethereum,2022.52,N/A,2025-03-26 16:04:44
litecoin,93.63,N/A,2025-03-26 16:04:44
bitcoin,87001.0,N/A,2025-03-26 16:06:11
ethereum,2021.69,N/A,2025-03-26 16:06:11
litecoin,93.62,N/A,2025-03-26 16:06:11
bitcoin,87001.0,N/A,2025-03-26 16:06:43
ethereum,2021.69,N/A,2025-03-26 16:06:43
litecoin,93.62,N/A,2025-03-26 16:06:43
